Cell Type	Z-score	Cluster
Fibroblast	0.5341645201210958	11
CD16+ monocyte	0.491423047226781	11
Intermediate monocyte	0.3234087866443949	11
Mesenchymal stem cell	0.3004233428322371	11
Antigen-presenting cell	0.24633215671815412	11
Immune cell	0.23964946598656622	11
Non-classical monocyte	0.2393613758485266	11
Kupffer cell	0.19570033832596057	11
Leukocyte	0.1396675073374741	11
Mesenchymal stromal cell	0.09646957154781531	11
Mesenchymal cell	0.093456289823999	11
M2 macrophage	0.0880902533379529	11
Natural killer T(NKT) cell	0.08571946349396214	11
Neuron	0.08371334472469237	11
Monocyte-derived dendritic cell	0.067113377730293	11
Oligodendrocyte progenitor cell	0.057328876324376006	11
Monocyte-derived macrophage	0.05640107909778281	11
Mononuclear phagocyte	0.055022022161744046	11
Exhausted T(Tex) cell	0.02479080809696241	11
Progenitor cell	0.008018406083416585	11
Mitotic fetal germ cell	0.007916858079559103	11
CD1C+_B dendritic cell	-0.002657190732494512	11
Multilymphoid progenitor cell	-0.00778651303475728	11
Mitotic arrest phase fetal germ cell	-0.008802151999912768	11
Gonadal endothelial cell	-0.013441697754526525	11
T cell	-0.014176351375102402	11
CD14 monocyte	-0.016373765847177552	11
Granulocyte	-0.017126042254176622	11
Podocyte	-0.019099530232070276	11
Myeloid derived suppressor cell (MDSC)	-0.02056076911962651	11
Hepatocyte	-0.022117387113187743	11
Oogenesis phase fetal germ cell	-0.02582515546546759	11
Mature dendritic cell	-0.02904694544329244	11
Oligodendrocyte	-0.033149662186480244	11
CD14+CD16+ monocyte	-0.03675911936989689	11
Basophil	-0.04221911266132317	11
Conventional dendritic cell 2(cDC2)	-0.043686475177333164	11
Naive B cell	-0.04869846534894413	11
CD4+ T cell	-0.051942008492906144	11
Vascular endothelial cell	-0.05222192670250603	11
Monocyte Myeloid-derived suppressor cell (M-MDSC)	-0.05451315009883725	11
Adipose-derived stem cell	-0.056843430240336244	11
Stem cell	-0.05759692712486162	11
Oligodendrocyte precursor cell	-0.05991840965580184	11
Memory T cell	-0.06853821801132691	11
Trophectoderm cell	-0.07308283274906836	11
CD16 monocyte	-0.07341390553053488	11
Granulosa cell	-0.07560475539938426	11
Follicular helper (Tfh) T cell	-0.08227186598072878	11
Memory CD4+ T cell	-0.0844785547935498	11
Delta cell	-0.08790462777564663	11
Hematopoietic cell	-0.08859245007746683	11
Histiocyte	-0.08882146786710508	11
Sertoli cell	-0.09732532251119577	11
SLC16A7+ cell	-0.098003740386427	11
Alveolar macrophage	-0.09941176132308184	11
Pan-macrophage	-0.09941176132308184	11
Activated microglial cell	-0.09941176132308184	11
Liver bud hepatic cell	-0.1048887069111096	11
Vasculature cell	-0.10855112226846116	11
Activated endothelial cell	-0.10855112226846116	11
Exhausted CD4+ T cell	-0.10904466299769895	11
Meiotic prophase fetal germ cell	-0.11053834242028364	11
Regulatory T(Treg) cell	-0.11200144830267848	11
Granulocyte-monocyte progenitor	-0.11234049499780722	11
Ciliated cell	-0.11320793163918419	11
Secretory cell	-0.11497755918336788	11
Leydig cell	-0.11836896280286721	11
Effector CD8+ memory T (Tem) cell	-0.11964501929765317	11
Effector memory T cell	-0.12504393122257662	11
Activated T cell	-0.12754569809249985	11
Homeostatic chondrocyte	-0.13154906994820795	11
Cytotoxic CD4+ T cell	-0.1319453001444587	11
Follicular B cell	-0.1329930620489874	11
CD141+CLEC9A+ dendritic cell	-0.13547369406947898	11
Fibrocartilage chondrocyte	-0.1380857791031815	11
Secretory progenitor cell	-0.1388097474753913	11
Mast cell	-0.14087340209399876	11
Type 3 dendritic cell (DC3)	-0.14287239798736417	11
Gonadal mitotic phase fetal germ cell	-0.1449537293807102	11
Neural progenitor cell	-0.14592599490247798	11
Basal cell	-0.14833785602148464	11
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.1505347800807905	11
Migration phase fetal germ cell	-0.15332314588999119	11
Enterocyte progenitor cell	-0.15408370979317865	11
Ciliated epithelial cell	-0.15492576072064132	11
Ionocyte cell	-0.15521192731213437	11
Epithelial cell	-0.1564719963640741	11
Natural regulatory T cell	-0.15817218014387394	11
Eosinophil	-0.16159341908829677	11
Acinar cell	-0.16357932143190726	11
Plasmacytoid dendritic cell	-0.16360878340042875	11
Retinoid acid signaling-responsive fetal germ cell	-0.16386549293375663	11
Monocyte derived dendritic cell	-0.1650376554325011	11
Myeloid dendritic cell	-0.16558127589960916	11
Glial cell	-0.16810610051527738	11
Immature B cell	-0.16915337690612117	11
Activated memory B cell	-0.17173429015137148	11
Beta cell(β cell)	-0.17393545134020266	11
Stromal cell	-0.1772612241532337	11
Megakaryocyte	-0.17747524846714968	11
Pan monocyte	-0.17922089825193507	11
Blood cell	-0.17964214417373237	11
CLEC9A+ dendritic cell	-0.18000101773377786	11
CLEC10A+ dendritic cell	-0.18000101773377786	11
Meyloid cell	-0.18018281267008657	11
CD8+ T cell	-0.1826887918462151	11
AXL+SIGLEC6+ dendritic cell	-0.18303697589922474	11
Myofibroblast	-0.1832447188514878	11
Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell	-0.18515988852842669	11
Mature B cell	-0.18536324839505625	11
Leydig precursor cell	-0.18556871649776796	11
Early response secretory cell	-0.1857604747163469	11
Neuroepithelial cell	-0.18684204842209384	11
Naive CD8+ T cell	-0.18760740872745776	11
Morula cell (Blastomere)	-0.18820274438990436	11
Intermediate monocyte cell	-0.1884767859570935	11
Alpha cell (α cell)	-0.18874949072210864	11
M1 microglial cell	-0.1889801518311618	11
Monocyte progenitor cell	-0.1891469065154237	11
Memory B cell	-0.1896158077838291	11
CD1C+_A dendritic cell	-0.18973201983197419	11
Regulatory chondrocyte	-0.19047875464789643	11
Immature neutrophil	-0.19085949419390122	11
FOXN4+ cell	-0.19091075018626366	11
Primitive endoderm cell	-0.19119622069241948	11
FGFR1LowNME5- epithelial cell	-0.19125777861231477	11
Atypical B cell(ABC)	-0.1913056931918714	11
Red blood cell (erythrocyte)	-0.1913657095985314	11
Hofbauer cell	-0.19219707423608828	11
Follicular cell	-0.19270609582468684	11
Germinal center cell	-0.19270609582468684	11
Prehypertrophic chondrocyte	-0.19329745003478133	11
Mono-macrophage	-0.19360611283106732	11
Pre-dendritic cell	-0.19405212489685258	11
Truncated radial glial cell	-0.1941023730809136	11
Cardiomyocyte	-0.1942359022625284	11
Neuroendocrine cell	-0.19467496177175034	11
Brush cell (Tuft cell)	-0.19467496177175034	11
1-cell stage cell (Blastomere)	-0.19554409145169913	11
Capillary cell	-0.19568270403735044	11
Embryonic stem cell	-0.19633706777025825	11
Myeloid-derived suppressor cell	-0.19649188842614435	11
Platelet	-0.19654276649039376	11
Epiblast cell	-0.19693418335220494	11
Neural crest-derived cell	-0.19732870271258915	11
AXL+ SIGLEC6+ dendritic cell	-0.1973498145355487	11
Granulocytic-UNK	-0.1973498145355487	11
Naive human pluripotent stem cell	-0.19737007449635022	11
Regulatory T (Treg) cell	-0.19741393600008167	11
Pelvic epithelial cell	-0.19742802025655223	11
Pericyte	-0.19772304970253476	11
Innate lymphoid cell	-0.1978671757717061	11
T helper cell	-0.19789049471516448	11
CD16+ dendritic cell (CD16+ DC)	-0.19809545755914437	11
CD4+ cytotoxic T1 cell	-0.19848494482024942	11
Circulating fetal cell	-0.1985383171761803	11
Proliferative chondrocyte	-0.19860911621732344	11
Cardiosphere-derived cell	-0.19868112625392548	11
Tissue migratory CD4+ T  cell (TMC)	-0.19893782867570287	11
Hepatic cell	-0.19896918468717792	11
Polymorphonuclear neutrophil(PMN)	-0.19906740146471497	11
Neutrophil lineage	-0.19906740146471497	11
Pancreatic polypeptide cell	-0.19914117702839348	11
Macroglial cell	-0.1992960168177369	11
Cancer cell	-0.19961614749719475	11
Dental pulp stem cell	-0.19973569706372515	11
CD14+ endothelial progenitor cell	-0.19973569706372515	11
Activated CD4+ T cell	-0.19973569706372515	11
Urine-derived stem cell	-0.19973569706372515	11
CD16+ dendritic cell	-0.19973569706372515	11
CD14++CD16- monocyte	-0.19973569706372515	11
Monocytic myeloid-derived suppressor cell	-0.19973569706372515	11
Effector T(Teff) cell	-0.19973569706372515	11
CD14+ CD1c+ dendritic cell	-0.19973569706372515	11
Inflammatory dendritic cell	-0.19973569706372515	11
Fully activated dendritic cell	-0.19973569706372515	11
Inflammatory monocyte	-0.19973569706372515	11
Monocyte lineage	-0.19973569706372515	11
Multipotent mesenchymal stroma cell	-0.19973569706372515	11
CD14+ monocyte-derived macrophage	-0.19973569706372515	11
Haematopoietic cell	-0.19973569706372515	11
Hematopoietic precursor cell	-0.19973569706372515	11
CD14+ macrophage	-0.19973569706372515	11
Bone marrow stem cell	-0.19973569706372515	11
Immature myeloid cell	-0.19973569706372515	11
Suppressive monocyte	-0.19973569706372515	11
Pro-inflammatory macrophage	-0.19973569706372515	11
Circulating progenitor cell	-0.19973569706372515	11
Plasmacytoid dendritic cell(pDC)	-0.19973719997140044	11
Tumor‐associated macrophage (TAM)	-0.19994492158901198	11
DCLK1+ progenitor cell	-0.2001030819644776	11
Artery cell	-0.2004891939482505	11
Activated effector cell	-0.20052295298650882	11
Human-induced pluripotent stem cell (iPSC)	-0.20061388313393103	11
Tissue resident macrophage	-0.20061388313393103	11
Adipose-derived stromal cell	-0.20061388313393103	11
White blood cell	-0.20069761148187662	11
Retinal pigment epithelial cell	-0.20079405087975302	11
Multipotent progenitor cell	-0.20091282952034317	11
Corneal epithelial cell	-0.20107266449663222	11
Macrophage-dendritic cell progenitor cell	-0.20115334063482626	11
Monocyte-dendritic cell progenitor cell	-0.20115334063482626	11
Tuft progenitor cell	-0.20135835884730663	11
Lake et al.Science.Ex6	-0.20145966559354203	11
Dorsal medial ganglionic eminence precursor cell	-0.20145966559354203	11
Lateral ganglionic eminence cell	-0.20145966559354203	11
Subpallium cell	-0.20145966559354203	11
Spermatogonial stem cell	-0.20162240259040873	11
Reticular fibroblast	-0.20174677852922135	11
Preadipocyte	-0.20174677852922135	11
Conventional dendritic cell 2-B (cDC2-B)	-0.20174677852922135	11
Inflammatory Dendritic Epidermal Cell (IDEC)	-0.20174677852922135	11
Stem-cell-derived-alpha cell	-0.20174677852922135	11
Mature neutrophil	-0.20182230065584159	11
Effector CD8 T cell	-0.20185297599033888	11
Tissue resident memory T(TRM) cell	-0.20185978750115036	11
Lymphoblastoid cell	-0.20201510071657086	11
Exausted T(Tex) cell	-0.20201510071657086	11
Adipocyte	-0.20220064513322678	11
Adipocyte progenitor cell	-0.20220064513322678	11
lmmLeydig cell	-0.20220064513322678	11
Immune oligodendroglial cell(imOLG)	-0.20250913335787993	11
Activated B cell	-0.20250913335787993	11
Central memory T cell	-0.202550776057851	11
Effector memory CD4+ T cell	-0.202550776057851	11
Effector CD8+ T cell	-0.202550776057851	11
Memory T-cell	-0.202550776057851	11
Germinal stem cell	-0.20264288418281906	11
Interferon responsive secretory cell	-0.20264288418281906	11
Germline stem cell	-0.20264288418281906	11
Age-associated B cell	-0.20270725776875004	11
