Cell Type	Z-score	Cluster
Stem cell	-0.12191549838520203	2
Delta cell	-0.12303199487990985	2
Hematopoietic stem cell	-0.12818684072298403	2
Ionocyte cell	-0.1315607987824163	2
Eosinophil	-0.13594629440057	2
SLC16A7+ cell	-0.136213247920628	2
Monocyte derived dendritic cell	-0.13784637834337252	2
Follicular helper (Tfh) T cell	-0.13798639701501142	2
Secretory progenitor cell	-0.1410116014363302	2
Leydig cell	-0.14336403774220988	2
Enterocyte progenitor cell	-0.14550728181919087	2
Migration phase fetal germ cell	-0.14787558596859277	2
Mast cell	-0.1518814272829539	2
Meiotic prophase fetal germ cell	-0.15335850518332458	2
Acinar cell	-0.1545713194896363	2
Basal cell	-0.1578300394211409	2
Ciliated cell	-0.16007924064754203	2
CD1C+_A dendritic cell	-0.16025916787722277	2
Hematopoietic cell	-0.16034174511626426	2
Homeostatic chondrocyte	-0.16071420632001526	2
Plasmacytoid dendritic cell	-0.16757357586127264	2
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.16835706852727023	2
Fibrocartilage chondrocyte	-0.1704497641940212	2
Gonadal mitotic phase fetal germ cell	-0.17055291438052314	2
Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell	-0.17160178853547192	2
Meyloid cell	-0.17165483318384175	2
Retinoid acid signaling-responsive fetal germ cell	-0.17344415789198897	2
Ciliated epithelial cell	-0.17404521115556196	2
Hofbauer cell	-0.17484147870349487	2
CD141+CLEC9A+ dendritic cell	-0.17612747322823005	2
Myeloid dendritic cell	-0.17694699128656766	2
Epithelial cell	-0.17698481261867435	2
Pan monocyte	-0.17893427899826797	2
Glial cell	-0.1801977980387698	2
AXL+SIGLEC6+ dendritic cell	-0.18172487515500096	2
Leydig precursor cell	-0.18200642422287067	2
Exhausted CD4+ T cell	-0.18262357720592778	2
CLEC10A+ dendritic cell	-0.18389834827474302	2
CLEC9A+ dendritic cell	-0.18389834827474302	2
CD16 monocyte	-0.18501938585553815	2
Stromal cell	-0.18512714361521238	2
FOXN4+ cell	-0.18579179792758282	2
Pro-inflammatory macrophage	-0.18595740956396037	2
Beta cell(β cell)	-0.18630815574871806	2
Monocyte progenitor cell	-0.1873991719860735	2
Conventional dendritic cell 2-B (cDC2-B)	-0.18761485646717146	2
Intermediate monocyte cell	-0.1884489821616411	2
Naive CD8+ T cell	-0.18866367485100619	2
Granulocytic-UNK	-0.18902865723078152	2
Myofibroblast	-0.1890749873666995	2
Natural regulatory T cell	-0.18966431331118405	2
DCLK1+ progenitor cell	-0.19003236420117112	2
Immature neutrophil	-0.1902778175446555	2
AXL+ SIGLEC6+ dendritic cell	-0.19033710333784407	2
Blood cell	-0.19067855772531717	2
Activated memory B cell	-0.19162621967129406	2
Effector CD8+ memory T (Tem) cell	-0.19170864443265917	2
Inflammatory dendritic cell	-0.19181218858850876	2
Alpha cell (α cell)	-0.19273136578139552	2
Regulatory T(Treg) cell	-0.19392389671046464	2
Secretory cell	-0.19412103248828155	2
Plasmacytoid dendritic cell(pDC)	-0.19420772442670897	2
Monocytic myeloid-derived suppressor cell	-0.19423133346570404	2
Immature myeloid cell	-0.19423133346570404	2
CD16+ dendritic cell	-0.19423133346570404	2
Myeloid-derived suppressor cell	-0.19423133346570404	2
Suppressive monocyte	-0.19423133346570404	2
Pelvic epithelial cell	-0.19427590090473612	2
Epiblast cell	-0.19453149167845624	2
Cancer cell	-0.19455683868822754	2
T cell	-0.1949257352111658	2
Myoblast	-0.19640328592970052	2
Circulating fetal cell	-0.19697598356542279	2
Conventional dendritic cell 1(cDC1)	-0.19747038817270812	2
Myeloid conventional dendritic cell	-0.1976446473538457	2
Red blood cell (erythrocyte)	-0.19777736639598018	2
Morula cell (Blastomere)	-0.19805439553099968	2
Neuroepithelial cell	-0.19831755057114114	2
M1 microglial cell	-0.19842746774439443	2
Retinal pigment epithelial cell	-0.19847819500681782	2
Brush cell (Tuft cell)	-0.19865758567991842	2
Neuroendocrine cell	-0.19865758567991842	2
Prehypertrophic chondrocyte	-0.1987300504895684	2
Tissue resident macrophage	-0.19879914073471563	2
Innate lymphoid cell	-0.1988552146062563	2
Cytotoxic CD4+ T cell	-0.19900042308112653	2
Multipotent progenitor cell	-0.19910648930016384	2
Pericyte	-0.19943153736439273	2
Tuft progenitor cell	-0.19949547029252906	2
Effector memory T cell	-0.19958289357433398	2
Interferon responsive secretory cell	-0.1996218124709761	2
CD8+ T cell	-0.20011370957600494	2
Lake et al.Science.Ex8	-0.2003199558263021	2
Neural progenitor cell	-0.2003199558263021	2
Embryonic stem cell	-0.2003398768286706	2
White blood cell	-0.20081681051632252	2
Effector T(Teff) cell	-0.20134753118510393	2
Urine-derived stem cell	-0.20134753118510393	2
Hematopoietic precursor cell	-0.20134753118510393	2
CD14+ CD1c+ dendritic cell	-0.20134753118510393	2
CD14+ monocyte-derived macrophage	-0.20134753118510393	2
CD14+ macrophage	-0.20134753118510393	2
CD14++CD16- monocyte	-0.20134753118510393	2
Multipotent mesenchymal stroma cell	-0.20134753118510393	2
Activated CD4+ T cell	-0.20134753118510393	2
Fully activated dendritic cell	-0.20134753118510393	2
Circulating progenitor cell	-0.20134753118510393	2
Inflammatory monocyte	-0.20134753118510393	2
Haematopoietic cell	-0.20134753118510393	2
Mature dendritic cell	-0.20134753118510393	2
CD14+ endothelial progenitor cell	-0.20134753118510393	2
Monocyte lineage	-0.20134753118510393	2
Platelet	-0.20134753118510393	2
Bone marrow stem cell	-0.20134753118510393	2
Dental pulp stem cell	-0.20134753118510393	2
Proliferative chondrocyte	-0.201554009311363	2
lmmLeydig cell	-0.20220503788889044	2
