Cell Type	Z-score	Cluster
Natural killer T (NKT) cell	0.12912591214105285	14
Mesenchymal stromal cell	0.10980653834993889	14
Antigen-presenting cell	0.1021984048578453	14
Leukocyte	0.08998618762358816	14
Non-switched memory B cell	0.05281473292912373	14
Unswitched memory B cell(UnSw MB)	0.05281473292912373	14
Atypical memory B cell	0.05281473292912373	14
Myeloid cell	0.020519594635848085	14
Plasmacytoid dendritic cell	0.019328227959701662	14
Astrocyte	0.018333328918924547	14
Neuron	0.0038021033821020824	14
Endothelial cell	-0.005472660705297117	14
Paneth cell	-0.012475884894202326	14
Inhibitory neuron	-0.013221384732782466	14
Pre-B cell	-0.013523301415025125	14
Pan-B cell	-0.01376739746460413	14
Multilymphoid progenitor cell	-0.025135521222276823	14
Antibody-secreting cell	-0.027033362068290063	14
Switched memory B cell(Sw MB)	-0.027033362068290063	14
Class-switched memory B cell	-0.027033362068290063	14
CD4+ T cell	-0.04121275947452033	14
Natural killer cell	-0.04301959445347797	14
Endocrine cell	-0.046769130185140215	14
T helper(Th) cell	-0.062170413819561954	14
Myoblast	-0.06719949569572134	14
Mitotic arrest phase fetal germ cell	-0.07061555461784064	14
T helper cell	-0.07198792652460059	14
T helper 1(Th1) cell	-0.07198792652460059	14
Oogenesis phase fetal germ cell	-0.07517404529074367	14
T helper 2(Th2) cell	-0.07897887782894038	14
Mast cell	-0.08290751723173198	14
CD141+CLEC9A+ dendritic cell	-0.08753590571739475	14
Secretory cell	-0.095880159350573	14
Mature dendritic cell	-0.09636914752709487	14
Classical monocyte	-0.10885617674383648	14
Mature B cell	-0.11011373778892773	14
Meiotic prophase fetal germ cell	-0.11074980407059784	14
Sertoli cell	-0.111016665076539	14
SLC16A7+ cell	-0.11686245415616241	14
Natural killer T(NKT) cell	-0.11743922691505987	14
Germinal center cell	-0.11797508654500198	14
Follicular cell	-0.11797508654500198	14
Muscle satellite cell	-0.12111679320939076	14
Lymphocyte	-0.12237137865586754	14
Gonadal endothelial cell	-0.12252496216177376	14
Mesenchymal stem cell	-0.12280963294433685	14
Retinoid acid signaling-responsive fetal germ cell	-0.1238582232156458	14
Secretory progenitor cell	-0.1251030279393582	14
Mitotic fetal germ cell	-0.12523160161864513	14
Marginal zone B cell	-0.1263526971393549	14
Activated B cell	-0.12696633646794975	14
Ionocyte cell	-0.12928078674779822	14
Definitive endoderm cell	-0.13444162532921775	14
Oligodendrocyte	-0.1360996094755196	14
Stem cell	-0.1363356332397365	14
CD1C-CD141- dendritic cell	-0.13772793596022462	14
Granulosa cell	-0.13784281100105686	14
Neutrophil	-0.1383435852645141	14
Oligodendrocyte progenitor cell	-0.1394307728368036	14
Mononuclear phagocyte	-0.13962856291940048	14
Trophectoderm cell	-0.14101327587113482	14
Ciliated epithelial cell	-0.14443989873935534	14
Enterocyte progenitor cell	-0.14657429105947084	14
CAR-T cell	-0.1473146250719594	14
Leydig cell	-0.14778853000739725	14
Natural regulatory T cell	-0.14801216106959583	14
CD8+ T cell	-0.1481526210904002	14
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.14836467610389859	14
Germinal center B cell	-0.1484420803065634	14
Fibrocartilage chondrocyte	-0.14944406527337495	14
Leydig precursor cell	-0.14957946249470813	14
Basophil	-0.15025766222328063	14
Fibroblast	-0.15032503088602941	14
Resting naive B cell	-0.15032503088602941	14
Immature transitional B cell	-0.15032503088602941	14
AXL+SIGLEC6+ dendritic cell	-0.15095871825610074	14
hMSC-treated B cell	-0.1521770896083688	14
